timestamp,high,low,open,volumefrom,volume,close,conversionType,conversionSymbol
2017-01-01 00:00:00+00:00,8.891,7.97,8.018,854000.05,6963216.69,8.154,multiply,BTC
2017-01-02 00:00:00+00:00,8.568,7.964,8.154,859902.07,7152179.49,8.317,multiply,BTC
2017-01-03 00:00:00+00:00,9.94,8.185,8.335,571218.0,5292231.64,9.595,direct,
2017-01-04 00:00:00+00:00,11.5,10.24,9.639,2063444.32,22695239.44,11.0,multiply,BTC
2017-01-05 00:00:00+00:00,10.37,9.151,11.0,2134380.99,21602177.79,10.12,multiply,BTC
2017-01-06 00:00:00+00:00,10.32,8.924,10.12,1907155.78,19266514.89,10.1,multiply,BTC
2017-01-07 00:00:00+00:00,10.54,9.146,10.1,1311665.58,12766607.02,9.733,multiply,BTC
2017-01-08 00:00:00+00:00,10.35,9.486,9.733,768727.38,7818502.79,10.17,multiply,BTC
2017-01-09 00:00:00+00:00,11.0,9.952,10.17,1476745.18,15160989.33,10.27,multiply,BTC
2017-01-10 00:00:00+00:00,10.76,10.15,10.27,617898.5,6487770.94,10.5,multiply,BTC
2017-01-11 00:00:00+00:00,9.857,8.985,10.5,1304979.51,12566132.89,9.629,multiply,BTC
2017-01-12 00:00:00+00:00,10.24,9.64,9.629,759656.39,7378708.8,9.713,multiply,BTC
2017-01-13 00:00:00+00:00,10.08,9.461,9.713,639017.17,6166842.23,9.651,multiply,BTC
2017-01-14 00:00:00+00:00,9.827,9.385,9.651,344518.25,3348997.07,9.721,multiply,BTC
2017-01-15 00:00:00+00:00,9.928,9.657,9.721,231255.8,2265510.88,9.797,multiply,BTC
2017-01-16 00:00:00+00:00,9.878,9.432,9.797,404521.1,3865513.42,9.556,multiply,BTC
2017-01-17 00:00:00+00:00,10.69,9.923,9.556,921452.98,9301317.03,10.09,multiply,BTC
2017-01-18 00:00:00+00:00,10.27,9.784,10.09,464385.45,4689414.15,10.1,multiply,BTC
2017-01-19 00:00:00+00:00,10.42,10.12,10.1,349995.77,3628242.28,10.37,multiply,BTC
2017-01-20 00:00:00+00:00,10.81,10.3,10.37,475947.25,5031740.22,10.57,multiply,BTC
2017-01-21 00:00:00+00:00,11.05,10.42,10.57,508335.8,5540913.09,10.9,multiply,BTC
2017-01-22 00:00:00+00:00,11.01,10.6,10.91,133890.8,1443235.01,10.71,direct,
2017-01-23 00:00:00+00:00,10.85,10.61,10.69,264525.98,2842126.28,10.74,multiply,BTC
2017-01-24 00:00:00+00:00,10.64,10.37,10.74,263752.27,2779240.09,10.54,multiply,BTC
2017-01-25 00:00:00+00:00,10.69,10.42,10.54,256054.77,2679509.98,10.46,multiply,BTC
2017-01-26 00:00:00+00:00,10.76,10.44,10.46,393893.24,4186947.91,10.63,multiply,BTC
2017-01-27 00:00:00+00:00,10.67,10.38,10.63,284075.32,2975545.26,10.47,multiply,BTC
2017-01-28 00:00:00+00:00,10.63,10.36,10.47,207707.08,2192074.04,10.55,multiply,BTC
2017-01-29 00:00:00+00:00,10.53,10.34,10.55,112774.17,1177831.59,10.44,multiply,BTC
2017-01-30 00:00:00+00:00,10.77,10.42,10.47,129400.76,1369992.2,10.62,direct,
2017-01-31 00:00:00+00:00,11.12,10.62,10.56,495706.12,5283736.29,10.66,multiply,BTC
2017-02-01 00:00:00+00:00,11.0,10.49,10.66,575689.48,6130828.84,10.65,multiply,BTC
2017-02-02 00:00:00+00:00,10.92,10.57,10.71,253645.4,2738130.48,10.78,direct,
2017-02-03 00:00:00+00:00,10.95,10.55,10.78,238476.61,2590189.72,10.95,direct,
2017-02-04 00:00:00+00:00,11.4,10.88,10.95,223661.5,2507121.92,11.32,direct,
2017-02-05 00:00:00+00:00,11.32,11.07,11.32,163064.37,1834203.1,11.25,multiply,BTC
2017-02-06 00:00:00+00:00,11.38,11.13,11.25,177265.68,2001659.84,11.29,multiply,BTC
2017-02-07 00:00:00+00:00,11.55,11.26,11.32,129780.16,1481700.25,11.45,direct,
2017-02-08 00:00:00+00:00,11.6,11.11,11.45,162470.22,1842031.94,11.39,direct,
2017-02-09 00:00:00+00:00,11.08,10.38,11.36,779982.39,8490915.75,10.89,multiply,BTC
2017-02-10 00:00:00+00:00,11.55,11.02,10.89,441555.44,4990866.39,11.3,multiply,BTC
2017-02-11 00:00:00+00:00,11.57,11.23,11.3,245275.11,2792195.37,11.38,multiply,BTC
2017-02-12 00:00:00+00:00,11.36,11.17,11.38,176127.08,1997351.12,11.34,multiply,BTC
2017-02-13 00:00:00+00:00,11.42,11.15,11.34,218881.96,2472783.05,11.3,multiply,BTC
2017-02-14 00:00:00+00:00,14.05,11.32,11.39,694347.97,8633943.17,13.0,direct,
2017-02-15 00:00:00+00:00,13.68,12.63,13.0,310263.53,3998609.0,12.97,direct,
2017-02-16 00:00:00+00:00,13.06,12.64,12.97,2035678.87,26181931.8,12.95,direct,
2017-02-17 00:00:00+00:00,13.03,12.48,12.78,366856.3,4642891.0,12.66,multiply,BTC
2017-02-18 00:00:00+00:00,12.8,12.5,12.66,272927.0,3486554.87,12.77,multiply,BTC
2017-02-19 00:00:00+00:00,12.86,12.62,12.77,208490.26,2657002.69,12.74,multiply,BTC
2017-02-20 00:00:00+00:00,13.35,12.09,12.74,480208.56,5873097.63,12.23,multiply,BTC
2017-02-21 00:00:00+00:00,13.12,12.52,12.23,529445.34,6706706.28,12.67,multiply,BTC
2017-02-22 00:00:00+00:00,12.96,12.39,12.67,332890.48,4184953.04,12.57,multiply,BTC
2017-02-23 00:00:00+00:00,13.3,12.64,12.69,221592.54,2869257.92,13.13,direct,
2017-02-24 00:00:00+00:00,13.29,12.72,13.13,265438.72,3472766.16,13.11,direct,
2017-02-25 00:00:00+00:00,13.77,12.59,13.01,590751.25,7982720.03,13.51,multiply,BTC
2017-02-26 00:00:00+00:00,14.65,13.37,13.57,328409.76,4621619.85,14.59,direct,
2017-02-27 00:00:00+00:00,16.09,14.3,14.59,551363.78,8252909.85,15.55,direct,
